account,account_label,account_level_1,account_level_2,account_level_3,account_level_4,account_level_5,account_level_6,account_description,account_level
1,Assets,1 - Assets,,,,,,,1
11,Cash-like,1 - Assets,11 - Cash-like,,,,,,2
111,Cash,1 - Assets,11 - Cash-like,111 - Cash,,,,Base currencies like USDC and DAI,3
111001,USDC,1 - Assets,11 - Cash-like,111 - Cash,111001 - USDC,,,,4
111002,DAI,1 - Assets,11 - Cash-like,111 - Cash,111002 - DAI,,,,4
111003,USDS,1 - Assets,11 - Cash-like,111 - Cash,111003 - USDS,,,,4
112,Money Markets,1 - Assets,11 - Cash-like,111 - Money Markets,,,,Very short-term investment of cash items like Aaave and Compound,3
112001,COMP USDC,1 - Assets,11 - Cash-like,111 - Money Markets,112001 - COMP USDC,,,,4
112002,COMP DAI,1 - Assets,11 - Cash-like,111 - Money Markets,112002 - COMP DAI,,,,4
112003,DAI DSR,1 - Assets,11 - Cash-like,111 - Money Markets,112003 - DAI DSR,,,,4
112004,Aave USDC,1 - Assets,11 - Cash-like,111 - Money Markets,112004 - Aave USDC,,,,4
112005,Aave DAI,1 - Assets,11 - Cash-like,111 - Money Markets,112005 - Aave DAI,,,,4
112006,USDS SSR,1 - Assets,11 - Cash-like,111 - Money Markets,112006 - USDS SSR,,,,4
12,Crypto-currencies,1 - Assets,12 - Crypto-currencies,,,,,Non-base currencies (like ETH),2
121,ETH,1 - Assets,12 - Crypto-currencies,121 - ETH,,,,,3
129,Others currencies,1 - Assets,12 - Crypto-currencies,129 - Others currencies,,,,,3
13,Liquid Investments,1 - Assets,,,,,,,2
131,Liquid Investments (ETH Related),1 - Assets,13 - Liquid Investments,,,,,Endowments non-money markets investments,3
131001,Aura wstETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131001 - Aura wstETH,,,,4
131002,Curve ETH-STETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131002 - Curve ETH-STETH,,,,4
131003,UNIV3 SETH2-WETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131003 - UNIV3 SETH2-WETH,,,,4
131004,stETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131004 - stETH,,,,4
131005,sETH2,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131005 - sETH2,,,,4
131006,Aura rETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131006 - Aura rETH,,,,4
131007,rETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131007 - rETH,,,,4
131008,ankrETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131008 - ankrETH,,,,4
131009,ETHx,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131009 - ETHx,,,,4
131010,COMP ETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131010 - COMP ETH,,,,4
131011,Spark ETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131011 - Spark ETH,,,,4
131012,Aave ETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131012 - Aave ETH,,,,4
131013,osETH,1 - Assets,13 - Liquid Investments,131 - Liquid Investments,131013 - osETH,,,,4
